DOCTECH_numero;Designation;Maturity;n;total;riesgo;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_nature;FCT_designation;FCT_BE_resp;VAR_numero;VAR_type;VAR_argument_produit_1;VAR_argument_produit_2;VAR_prix_previ;VAR_masse_previ;SOL_numero;SOL_site_production;SOL_sce;SOL_appariement;ESO_numero;ESO_etat;ESO_num_appro;ESO_date_histo;ESO_num_PG;ESO_commonalite;ESO_commentaire;ESO_designation_PG;ESO_code_SH;ESO_fourn_pilote;ESO_type_concur;ESO_mas_prob;ESO_mas_recy;ESO_risque;ESO_ecart_mas1;ESO_ecart_mas2;ESO_potentiel;ESO_coef;ESO_design_dos_fct;ESO_BE_resp;ESO_indice_dos_fct;AFU_int_site;AFU_int_sce;AFU_int_validite;AFU_ext_site;AFU_ext_sce;AFU_ext_validite;ECO_statut;ECO_sol_ext;ECO_parallel_set_cod;ECO_commentaire;PIE_numero;PIE_designation;PIE_type;PIE_BE_resp;PIE_sce_gest;PIE_sce_colead;PIE_ldr_conception;PIE_Nis_pie_numero;PIE_unite;AFF_POI_site;AFF_POI_sce;AFF_POI_validite;AFF_POE_site;AFF_POE_sce;AFF_POE_validite;AFF_uti_SIGNE;AFF_uti_G2B;PIE_cod_RSE;PIE_vital_part;PIE_code_nature;PIE_code_techno;PIE_sct_ach;PIE_fournisseur;PIE_cod_fab;PIE_source;PIE_gest_MDS;PIE_prix_std;PIE_prix_hors_amort;PIE_inducteur1;PIE_inducteur2;PIE_creation_comment;PIE_gest_PPU;PIE_maj_PPU;PIEIND_indice;PIEIND_statut;PIEIND_Dernier_indice;PIEIND_Dernier_statut;PIEIND_marquage_pays;PIEIND_masse;PIEIND_type_masse;PIEIND_nuance_protection;PIEIND_epaisseur;PIEIND_typologie;DOCTECH_BE_resp;DOCTECH_type;DOCTECH_indice;DOCTECH_indice_mineur;DOCTECH_flag_nis;perimetro
2D0033218P;CEINTURE SCR G 1ERE RNG;Refused; 3; 5;0,6000000;61;SYSTEMES DE SECURITE;X52;F10163;Fonction;CEINTURE DE SECURITE 1ERE RNG;Renault;8;Projet;X52 PH2 MSU - AVEC PYRO;NA;NA;NA; 3;NA;0RDBA;NA; 2;Valide;NA;10/08/2018;F10163/AB;NA;NA;CEINTURE DE SECURITE G 1ERE RANGEE;8708.21;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;COR,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;868858267R;CEINTURE SCR G 1ERE RNG;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,OCM,COR;NA;RQE;NA;-;NA;NA;AUTOLIV DO BRASIL LTDA.;DV;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--A;BE;--A;BE;NA; 1,300;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 5;NA;61 - SYSTEMES DE SECURITE
2D0033652P;BVA ASS FK8 005;Refused; 1; 2;0,5000000;B1;BOITE DE VITESSE;XHA;ASS001033;Fonction;BOITE DE VITESSES ASS;Renault;22;Projet;FK8*005 - H5H;NA;NA;NA; 1;NA;31MAA;NA; 1;Valide;NA;09/11/2018;ASS001033;NA;NA;BOITE DE VITESSES ASS;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;31MAA;Officielle;NA;NA;NA;BE;NA;NA;NA;320107637R;BVA ASS FK8 005;BOI;Renault;31LOS;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;31LOS;Officielle;ORU;NA;RSE;NA;K;NA;NA;JATCO MEXICO SA DE CV;67;NA;Non;NA;NA;Gestion Documentaire;Assemblé;NA;NA;NA;--A;BE;--A;BE;NA;91,000;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 2;NA;B1 - BOITE DE VITESSE
2D0033986P;PNEUMATIQUE 185/65 R 15 88 H;Validated; 1; 1;0,0000000;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12828;Fonction;PNEUMATIQUE;Renault;29;Projet;PNEU 185/65 R 15 88 H MENU CAFE;NA;NA;NA; 2;NA;0M000;NA; 1;Valide;403123660R;05/07/2019;F12828/AA;NA;NA;PNEUMATIQUE;4011.1;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;TAN;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403121753R;PNEUMATIQUE 185/65 R 15 88 H;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;REV,BUR,TAN;NA;RS-;NA;-;XQR;NA;BRISA BRIDGESTONE SABANCI LA;7N;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--A;BE;--A;BE;NA; 7,170;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--A; 2;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0033986P;PNEUMATIQUE 185/65 R 15 88 H 185/65 R 15 88 H;Validated; 1; 1;0,0000000;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12828;Fonction;PNEUMATIQUE;Renault;29;Projet;PNEU 185/65 R 15 88 H MENU CAFE;NA;NA;NA; 2;NA;0M000;NA; 1;Valide;403123660R;05/07/2019;F12828/AA;NA;NA;PNEUMATIQUE;4011.1;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;TAN;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403121753R;PNEUMATIQUE 185/65 R 15 88 H;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;REV,BUR,TAN;NA;RS-;NA;-;XQR;NA;BRISA BRIDGESTONE SABANCI LA;7N;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--A;BE;--A;BE;NA; 7,170;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--A; 2;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0034648P;FLASQUE CTL G TRAVERSE PDC;Refused; 4; 5;0,8000000;56;TRAVERSE POSTE DE CONDUITE;XHA;F10689;Fonction;TRAVERSE DE POSTE DE CONDUITE;Renault;4;Projet;HHA PH2  ENPB01;NA;NA;NA; 3;NA;0RDBA;NA; 4;Valide;NA;24/10/2018;F10689/CR;NA;NA;FLASQUE CTL G DE TRAVERSE POSTE DE CONDUITE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;681832163R;FLASQUE CTL G TRAVERSE PDC;PIE;Renault;0RDBA;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;ORU,UAS;NA;R--;NA;-;NA;NA;OOO GESTAMP SEVERSTAL KALUGA;8V;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 0,501;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 5;NA;56 - TRAVERSE POSTE DE CONDUITE
2D0034658P;TRAVERSE POSTE CONDUITE;Refused; 4; 6;0,6666667;56;TRAVERSE POSTE DE CONDUITE;XHA;F10689;Fonction;TRAVERSE DE POSTE DE CONDUITE;Renault;4;Projet;HHA PH2  ENPB01;NA;NA;NA; 3;NA;0RDBA;NA; 1;Valide;NA;24/10/2018;F10689/AA;NA;NA;TRAVERSE DE POSTE DE CONDUITE;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;678707103R;TRAVERSE POSTE CONDUITE;PIE;Renault;0RDBA;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;ORU;NA;R--;NA;-;NA;NA;OOO GESTAMP SEVERSTAL KALUGA;FL;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 6,328;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 6;NA;56 - TRAVERSE POSTE DE CONDUITE
2D0035090P;VITRE PARE-BRISE;Refused; 2; 3;0,6666667;43;VISIBILITE;X52;F10467;Fonction;VITRE DE PARE-BRISE;Renault;6;Projet;X52 PH2 E3 CORDOBA, CURITIBA;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;26/03/2018;F10467/AA;NA;NA;VITRE DE PARE-BRISE;7007.21;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;727125420R;VITRE PARE-BRISE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;RS-;NA;-;4AZ;NA;SAINT GOBAIN DO BRASIL PRODU;5U;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--A;BE;--A;BE;NA;13,506;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 3;NA;43 - VISIBILITE
2D0035291P;CABLE COMMANDE OVRT TRAPPE CARBURANT;Refused; 1; 1;1,0000000;31;ACCES - PROTECTION VEHICULE;X52;F16394;Fonction;COMMANDE OUVERTURE TRAPPE CARBURANT;Renault;13;Projet;L52 PH2 MERCOS;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;07/06/2018;F16394/AB;NA;NA;CABLE 1 COMMANDE OUVERTURE MECANIQUE TRAPPE A CRBT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;788225674R;CABLE COMMANDE OVRT TRAPPE CARBURANT;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,COR,OCM;NA;R--;NA;-;YAR;NA;RENAULT INDIA PVT LTD;71;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,282;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 2;NA;31 - ACCES - PROTECTION VEHICULE
2D0035313P;COQUILLE SOUS VOLANT SUP;Validated; 1; 1;0,0000000;51;PLANCHE DE BORD;X79;F10235;Fonction;COQUILLE SOUS VOLANT;Renault;29;Projet;H79 PH3 INDIA;NA;NA;NA; 1;NA;0INDE;NA; 2;Valide;NA;29/07/2019;F10235/AD;NA;NA;COQUILLE SUP SOUS VOLANT;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;484713731R;COQUILLE SOUS VOLANT SUP;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RQ-;NA;-;320;NA;NA;LL;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;---;BE;---;BE;NA; 0,150;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;51 - PLANCHE DE BORD
2D0035314P;COQUILLE SOUS VOLANT INF;Validated; 2; 2;0,0000000;51;PLANCHE DE BORD;X79;F10235;Fonction;COQUILLE SOUS VOLANT;Renault;29;Projet;H79 PH3 INDIA;NA;NA;NA; 1;NA;0INDE;NA; 1;Valide;NA;29/07/2019;F10235/AB;NA;NA;COQUILLE INF SOUS VOLANT;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;484721592R;COQUILLE SOUS VOLANT INF;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RQ-;NA;-;YLR;NA;NA;93;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;---;BE;---;BE;NA; 0,352;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 2;NA;51 - PLANCHE DE BORD
2D0035423P;CACHE FIL RETROVISEUR INT;Validated; 1; 1;0,0000000;43;VISIBILITE;X52;F15605;Fonction;CACHE DE RETROVISEUR INT;Renault;1;Projet;PH2 CORDOBA, CURITIBA;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;05/02/2019;F15605/AB;NA;NA;CACHE SUP DE RETROVISEUR INT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;963D22965R;CACHE FIL RETROVISEUR INT;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,OCM;NA;R--;NA;-;NA;NA;AUTOMOBILE DACIA S.A. ACHATS;2Y;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,060;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;43 - VISIBILITE
2D0035426P;CACHE CAPTEUR PLUIE;Validated; 1; 1;0,0000000;43;VISIBILITE;X52;F15605;Fonction;CACHE DE RETROVISEUR INT;Renault;1;Projet;PH2 CORDOBA, CURITIBA;NA;NA;NA; 2;NA;0RDBA;NA; 2;Valide;NA;05/02/2019;F15605/AA;NA;NA;CACHE CAPTEUR DE RETROVISEUR INT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;963291268R;CACHE CAPTEUR PLUIE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,OCM;NA;R--;NA;-;YHR;NA;AUTOMOBILE DACIA S.A. ACHATS;JU;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,036;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;43 - VISIBILITE
2D0035506P;CONSOLE PAVILLON TN;Validated; 1; 1;0,0000000;62;HABILLAGE INTERIEUR;XHA;F10223;Fonction;CONSOLE DE PAVILLON;Renault;4;Projet;HHA MY19/20 ET PH2 CURITIBA;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;19/11/2018;F10223/AC;NA;NA;CONSOLE DE PAVILLON;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;739487714R;CONSOLE PAVILLON TN;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;R--;NA;-;NA;NA;INTERTRIM AUTOPECAS LTDA;YW;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;---;BE;---;BE;NA; 0,152;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;62 - HABILLAGE INTERIEUR
2D0035803P;JOINT ANTISALISSURE AV PORTE AV G;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10320;Fonction;ETANCHEITE DE PORTES AV SUR PORTE;Renault;1;Projet;HHA;NA;NA;NA; 5;NA;0RDBA;NA; 7;Valide;NA;29/11/2018;F10320/AI;NA;NA;PROTECTION 1 ANTISALISSURE DE PORTE AV G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;764M13840R;JOINT ANTISALISSURE AV PORTE AV G;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;---;NA;-;NA;NA;COOPER STANDARD AUTOMOTIVE.;R1;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,124;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0035810P;JOINT CLOISON CHAUFFAGE;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10327;Fonction;ETANCHEITE SOUS COFFRE MOTEUR;Renault;1;Projet;HHA;NA;NA;NA; 5;NA;0RDBA;NA; 1;Valide;NA;29/11/2018;F10327/AC;NA;NA;JOINT DE CLOISON CHAUFFAGE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;668303197R;JOINT CLOISON CHAUFFAGE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;---;NA;-;NA;NA;COOPER STANDARD AUTOMOTIVE.;SN;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,224;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0035811P;JOINT ENTREE PORTE AV;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10319;Fonction;ETANCHEITE DE PORTES AV SUR CAISSE;Renault;1;Projet;HHA;NA;NA;NA; 5;NA;0RDBA;NA; 1;Valide;NA;29/11/2018;F10319/AA;NA;NA;JOINT D' ENTREE DE PORTE AV D SUR CAISSE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;808329106R;JOINT ENTREE PORTE AV;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;R--;NA;-;YFZ;NA;COOPER STANDARD AUTOMOTIVE.;VV;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 1,150;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0035812P;JOINT ENTREE PORTE AR;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10317;Fonction;ETANCHEITE DE PORTES AR SUR CAISSE;Renault;1;Projet;HHA;NA;NA;NA; 6;NA;0RDBA;NA; 1;Valide;NA;29/11/2018;F10317/AA;NA;NA;JOINT D' ENTREE DE PORTE AR D SUR CAISSE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;769236367R;JOINT ENTREE PORTE AR;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;R--;NA;-;YFZ;NA;COOPER STANDARD AUTOMOTIVE.;8F;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 1,021;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0035814P;JOINT ANTISALISSURE PORTE AV G;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10320;Fonction;ETANCHEITE DE PORTES AV SUR PORTE;Renault;1;Projet;HHA;NA;NA;NA; 5;NA;0RDBA;NA; 2;Valide;NA;29/11/2018;F10320/AB;NA;NA;JOINT SECONDAIRE SUR PORTE AV G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;808319811R;JOINT ANTISALISSURE PORTE AV G;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;---;NA;-;NA;NA;COOPER STANDARD AUTOMOTIVE.;K8;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,065;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0035815P;JOINT ANTISALISSURE PORTE AR D;Validated; 1; 1;0,0000000;32;ETANCHEITE - MANOEUVRE;XHA;F10318;Fonction;ETANCHEITE DE PORTES ARRIERE SUR PORTE;Renault;1;Projet;HHA AVEC KIT POUSSIERE;NA;NA;NA;17;NA;0RDBA;NA;15;Valide;NA;18/06/2019;F10318/AB;NA;NA;JOINT SECONDAIRE DE PORTE AR G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;828311841R;JOINT ANTISALISSURE PORTE AR G;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS;NA;---;NA;-;YFZ;NA;COOPER STANDARD AUTOMOTIVE.;HM;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 0,110;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;32 - ETANCHEITE - MANOEUVRE
2D0036241P;RESERVOIR CARBURANT EQP;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X52;F10570;Fonction;RESERVOIR CARBURANT;Renault;1;Projet;B52,K52 / D4F, K4M, K7M,H4M + D4F EURO6;NA;NA;NA;14;NA;0M000;NA; 1;Valide;NA;20/12/2018;F10570/AA;NA;NA;RESERVOIR CARBURANT EQP;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TAN;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;172021261R;RESERVOIR CARBURANT EQP;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;TAN;NA;RS-;NA;Y;XUR;NA;INERGY AUTOMOTIVE SYST MOROC;NR;NA;Oui;NA;NA;Prestations Véhicules et Organes;Prestation CO2 - Consommation GMP;NA;NA;NA;---;BE;---;BE;NA; 9,000;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;76 - CIRCUIT CARBURANT
2D0036393P;VITRE LUNETTE;Validated; 1; 1;0,0000000;43;VISIBILITE;X79;F10707;Fonction;VITRE DE LUNETTE ARRIERE;Renault;19;Projet;H79 PH3 E2 ENPG04;NA;NA;NA; 1;CHN;0INDE;NA; 1;Valide;NA;18/04/2018;F10707/AA;NA;NA;VITRE DE LUNETTE AR;7007.11;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;903001609R;VITRE LUNETTE;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RSE;NA;-;4AZ;NA;NA;CS;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 4,200;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;43 - VISIBILITE
2D0036400P;FEU AR D COFFRE;Refused; 3; 3;1,0000000;42;ECLAIRAGE - SIGNALISATION;X52;F10332;Fonction;FEUX AR;Renault;26;Projet;B52 PH2 CURITIBA,CORDOBA,SOFASA;NA;NA;NA; 1;NA;0RDBA;NA; 3;Valide;NA;15/03/2018;F10332/AD;NA;NA;FEU AR D SUR PORTE DE COFFRE;8512.2;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM,UAS,COR;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;265506912R;FEU AR D COFFRE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR,UAS,OCM;NA;R-E;NA;-;NA;NA;OLSA BRASIL INDUSTRIA E COME;1L;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;--A;BE;--A;BE;NA; 0,560;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;13;NA;42 - ECLAIRAGE - SIGNALISATION
2D0036400P;FEU AR G COFFRE;Refused; 7; 8;0,8750000;42;ECLAIRAGE - SIGNALISATION;X52;F10332;Fonction;FEUX AR;Renault;26;Projet;B52 PH2 CURITIBA,CORDOBA,SOFASA;NA;NA;NA; 1;NA;0RDBA;NA; 3;Valide;NA;15/03/2018;F10332/AD;NA;NA;FEU AR D SUR PORTE DE COFFRE;8512.2;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM,UAS,COR;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;265506912R;FEU AR D COFFRE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR,UAS,OCM;NA;R-E;NA;-;NA;NA;OLSA BRASIL INDUSTRIA E COME;1L;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;--A;BE;--A;BE;NA; 0,560;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;13;NA;42 - ECLAIRAGE - SIGNALISATION
2D0036620P;GARNITURE MONTANT BAIE D;Validated; 1; 1;0,0000000;62;HABILLAGE INTERIEUR;X79;F10358;Fonction;GARNITURE DE MONTANT DE BAIE;Renault;8;Projet;H79 PH3 LL INDE;NA;NA;NA; 1;NA;0INDE;NA; 1;Valide;NA;20/04/2018;F10358/AA;NA;NA;GARNITURE DE MONTANT DE BAIE D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;769114662R;GARNITURE MONTANT BAIE D;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;R--;NA;-;NA;NA;NA;ZT;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--A;BE;--A;BE;NA; 0,150;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 1;NA;62 - HABILLAGE INTERIEUR
